136	-1.1726824595825747e-06
137	-1.1727046285159304e-06
138	-1.1727245237125317e-06
139	-1.1727404398698127e-06
140	-1.1727527180482866e-06
141	-1.1727628361768438e-06
142	-1.1727717037501861e-06
143	-1.1727785249604494e-06
144	-1.1727822766260942e-06
145	-1.172783640868147e-06
146	-1.1727851187970373e-06
147	-1.1727887567758444e-06
148	-1.17279546429927e-06
149	-1.172805241367314e-06
150	-1.1728189974746783e-06
151	-1.1728371873687138e-06
152	-1.1728589015547186e-06
153	-1.1728815252354252e-06
154	-1.1729022162398905e-06
155	-1.1729187008313602e-06
156	-1.1729304105756455e-06
157	-1.172938368654286e-06
158	-1.1729448488040362e-06
159	-1.1729531479431898e-06
160	-1.172965767182177e-06
161	-1.1729820243999711e-06
162	-1.1729987363651162e-06
163	-1.17301351565402e-06
164	-1.173025793832494e-06
165	-1.173036366708402e-06
166	-1.1730464848369593e-06
167	-1.1730573987733806e-06
168	-1.173069449578179e-06
169	-1.1730816140698153e-06
170	-1.1730921869457234e-06
171	-1.173099690277013e-06
172	-1.1731046924978727e-06
173	-1.1731083304766798e-06
174	-1.1731126505765133e-06
175	-1.1731187896657502e-06
176	-1.1731269751180662e-06
177	-1.1731369795597857e-06
178	-1.173148689304071e-06
179	-1.1731622180377599e-06
180	-1.1731773383871769e-06
181	-1.1731930271707824e-06
182	-1.1732076927728485e-06
183	-1.1732190614566207e-06
184	-1.1732257689800463e-06
185	-1.1732288385246648e-06
186	-1.1732313396350946e-06
187	-1.1732366829164675e-06
188	-1.173247142105538e-06
189	-1.1732636266970076e-06
190	-1.1732849998224992e-06
191	-1.1733091014320962e-06
192	-1.1733332030416932e-06
193	-1.173354121419834e-06
194	-1.1733696965166018e-06
195	-1.173381065200374e-06
196	-1.1733910696420935e-06
197	-1.1734020972653525e-06
198	-1.1734134659491247e-06
199	-1.1734226745829801e-06
200	-1.1734286999853794e-06
201	-1.1734325653378619e-06
202	-1.1734365443771821e-06
203	-1.1734435929611209e-06
204	-1.1734555300790817e-06
205	-1.1734714462363627e-06
206	-1.173488499262021e-06
207	-1.1735035059246002e-06
208	-1.1735143061741837e-06
209	-1.173521127384447e-06
210	-1.1735263569789822e-06
211	-1.17353295081557e-06
212	-1.1735422731362632e-06
213	-1.1735547786884126e-06
214	-1.1735696716641542e-06
215	-1.173585246760922e-06
216	-1.1735996849893127e-06
217	-1.1736118494809489e-06
218	-1.1736212854884798e-06
219	-1.173628561446094e-06
220	-1.1736353826563573e-06
221	-1.1736441365428618e-06
222	-1.1736551641661208e-06
223	-1.1736666465367307e-06
224	-1.1736757414837484e-06
225	-1.173680857391446e-06
226	-1.1736831311282003e-06
227	-1.1736863143596565e-06
228	-1.1736937040041084e-06
229	-1.1737063232430955e-06
230	-1.173723262581916e-06
